"","study","es_id","yi",".g","precalc_g","vi","sei","wf_1","wf_2","wf_3","wf_4","wf_5","wf_6","wf_7","wf_8","sample_size","...1","notes","condition_arm1","condition_arm2","descr_arm1","descr_arm2","multi_arm1","multi_arm2","...10","...11","primary_calc","outcome_type","outcome_domain","time","time_weeks","instrument","rating","sample","mean_arm1","mean_arm2","sd_arm1","sd_arm2","n_arm1","n_arm2","baseline_m_arm1","baseline_sd_arm1","baseline_n_arm1","baseline_m_arm2","baseline_sd_arm2","baseline_n_arm2","dich","dich_type","event_arm1","event_arm2","totaln_arm1","totaln_arm2","change","mean_change_arm1","mean_change_arm2","sd_change_arm1","sd_change_arm2","n_change_arm1","n_change_arm2","other_statistic","precalc_g_se","rand_arm1","rand_arm2","n_drop_study1","n_drop_study2","year","comorbid_me0tal","format","format_spec","program_arm1","support","initial_screening","forum","n_sessions_planned","X0_sessio0s_received","country","income_level","age_group","mean_age","percent_women","recruitment","diagnosis","target_group","...70","sg","ac","ba","itt","rob","other_target","Reference","Domain1_rob2","Domain2_rob2","Domain3_rob2","Domain4_rob2","Domain5_rob2","Totalscore_rob2","self.guided.checked","time_weeks_num",".id",".g_se",".log_rr",".log_rr_se",".event_arm1",".event_arm2",".totaln_arm1",".totaln_arm2"
"11","Araya, 2021b",11,0.420550453228426,-0.420550453228426,NA,0.012542040478849,0.111991251796062,"mobile","guided","med","cbt-based","cau","cut","some concerns","post",NA,NA,NA,"bat","cau","i-bat","gp","Lima",NA,NA,NA,1,"response (50%)","depression","post",12,"phq-9","self-report",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"response","50% reduction of baseline",108,70,205,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,215,"12","10",2021,0,"gsh",1,"COnEMO",5,1,0,"18","NA","oth","upper middle","adul","59.7","0.85899999999999999","oth","cut","med",NA,"1","?","sr","1",3,NA,"Araya, R., Menezes, P. R., Claro, H. G., Brandt, L. R., Daley, K. L., Quayle, J., Diez-Canseco, F., Peters, T. J., Vera Cruz, D., Toyama, M., Aschar, S., Hidalgo-Padilla, L., Martins, H., Cavero, V., Rocha, T., Scotton, G., de Almeida Lopes, I. F., Begale, M., Mohr, D. C., & Miranda, J. J. (2021, May 11). Effect of a Digital Intervention on Depressive Symptoms in Patients With Comorbid Hypertension or Diabetes in Brazil and Peru: Two Randomized Clinical Trials. Jama, 325(18), 1852-1862. https://doi.org/10.1001/jama.2021.4348 
","Some concerns","Low risk","Low risk","Low risk","Low risk","Some concerns",NA,12,"Araya_2021b_response(50%)_phq-9_post_12_self-report_bat_cau_Lima_NA",0.111991251796062,0.433635985074861,0.117426044743055,108,70,205,205
"12","Araya, 2021b",12,0.0863222542566168,-0.0863222542566168,NA,0.0122300461745411,0.110589539173202,"mobile","guided","med","cbt-based","cau","cut","some concerns","follow-up",NA,NA,NA,"bat","cau","i-bat","gp","Lima",NA,NA,NA,1,"response (50%)","depression","fu1",24,"phq-9","self-report",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"response","50% reduction of baseline",112,101,203,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,215,"14","18",2021,0,"gsh",1,"COnEMO",5,1,0,"18","NA","oth","upper middle","adul","59.7","0.85899999999999999","oth","cut","med",NA,"1","?","sr","1",3,NA,"Araya, R., Menezes, P. R., Claro, H. G., Brandt, L. R., Daley, K. L., Quayle, J., Diez-Canseco, F., Peters, T. J., Vera Cruz, D., Toyama, M., Aschar, S., Hidalgo-Padilla, L., Martins, H., Cavero, V., Rocha, T., Scotton, G., de Almeida Lopes, I. F., Begale, M., Mohr, D. C., & Miranda, J. J. (2021, May 11). Effect of a Digital Intervention on Depressive Symptoms in Patients With Comorbid Hypertension or Diabetes in Brazil and Peru: Two Randomized Clinical Trials. Jama, 325(18), 1852-1862. https://doi.org/10.1001/jama.2021.4348 
","Some concerns","Low risk","Low risk","Low risk","Low risk","Some concerns",NA,24,"Araya_2021b_response(50%)_phq-9_fu1_24_self-report_bat_cau_Lima_NA",0.110589539173202,0.0733761041500364,0.0939537706599229,112,101,203,197
"13","Arean, 2016",13,0.266596436680042,-0.266596436680042,NA,0.0290579645456039,0.170463968467251,"mobile","minimal to no support","adul","not-cbt-based","other ctr","cut","some concerns","post",NA,"1",NA,"pst","other ctr","Problem-Solving therapy App (iPST)","information control(daily health tips)","pst",NA,NA,NA,1,"remission","depression","post",4,"phq-9","self-report",0,NA,NA,NA,NA,NA,NA,"13.51","5.01",211,"13.64","4.9000000000000004",206,"remission","reduction of pretreatment scores of at least 50%",36,34,79,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,206,"132","106",2016,0,"ush",1,"IPST",1,0,0,"NA","NA","us","high","adul","33.950000000000003","0.78900000000000003","com","cut","adul",NA,"1","1","sr","1",4,NA,"Arean, P. A., Hallgren, K. A., Jordan, J. T., Gazzaley, A., Atkins, D. C., Heagerty, P. J., & Anguera, J. A. (2016). The Use and Effectiveness of Mobile Apps for Depression: Results From a Fully Remote Clinical Trial. J Med Internet Res, 18(12), e330.","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,4,"Arean_2016_remission_phq-9_post_4_self-report_pst_otherctr_pst_NA",0.170463968467251,0.292880747361018,0.185826033255728,36,34,79,100
"14","Arjadi, 2018",14,0.388644587098011,-0.388644587098011,NA,0.0130252689191716,0.114128300255334,"website","guided","adul","cbt-based","other ctr","mood","some concerns","post",313,"1",NA,"bat","other ctr","i-bat","attention control: online psychoeducation/ecau",NA,NA,NA,NA,1,"msd","depression","post",10,"phq-9","self-report",1,8.5,10.83,5.75,6.21,159,154,"17.920000000000002","5.38",159,"18.010000000000002","5.05",154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,154,"39","9",2018,0,"gsh",2,"GAF-ID",5,1,0,"8","5","oth","lower middle","adul","24.5","0.81","com","mood","adul",NA,"1","1","sr","1",4,NA,"Arjadi R, Nauta MH, Scholte WF, et al. Internet-based behavioural activation with lay counsellor support versus online minimal psychoeducation without support for treatment of depression: a randomised controlled trial in Indonesia. The lancet psychiatry 2018; 5(9): 707‐16.","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,10,"Arjadi_2018_msd_phq-9_post_10_self-report_bat_otherctr_NA_NA",0.114128300255334,NA,NA,NA,NA,NA,NA
"15","Baumeister, 2021",15,0.445813726797858,-0.445813726797858,NA,0.0196181408409609,0.140064773733301,"website","guided","med","cbt-based","cau","mdd","some concerns","post",209,"1",NA,"cbt","cau",NA,NA,NA,NA,NA,NA,1,"msd","depression","post",9,"phq-9","self-report",1,8.92,11.29,4.71,5.82,104,105,"12.69","4.18",104,"13","4.33",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,105,"22","22",2021,0,"gsh",2,"eSano BackCare-BP",5,1,0,"6","NA","eu","high","adul","49.9","0.6","oth","mdd","med",NA,"1","1","1","1",4,NA,"Baumeister, H., Paganini, S., Sander, L. B., Lin, J., Schlicker, S., Terhorst, Y., Moshagen, M., Bengel, J., Lehr, D., & Ebert, D. D. (2021). Effectiveness of a Guided Internet- and Mobile-Based Intervention for Patients with Chronic Back Pain and Depression (WARD-BP): A Multicenter, Pragmatic Randomized Controlled Trial. Psychother Psychosom, 90(4), 255-268. https://doi.org/10.1159/000511881 
","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,9,"Baumeister_2021_msd_phq-9_post_9_self-report_cbt_cau_NA_NA",0.140064773733301,NA,NA,NA,NA,NA,NA
"16","Baumeister, 2021",16,0.264086108552856,-0.264086108552856,NA,0.019307256874671,0.138950555503283,"website","guided","med","cbt-based","cau","mdd","some concerns","follow-up",209,NA,NA,"cbt","cau",NA,NA,NA,NA,NA,NA,1,"msd","depression","fu1",24,"phq-9","self-report",1,8.63,10.08,5.24,5.69,104,105,"12.69","4.18",104,"13","4.33",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,105,"28","26",2021,0,"gsh",2,"eSano BackCare-BP",5,1,0,"6","NA","eu","high","adul","49.9","0.6","oth","mdd","med",NA,"1","1","1","1",4,NA,"Baumeister, H., Paganini, S., Sander, L. B., Lin, J., Schlicker, S., Terhorst, Y., Moshagen, M., Bengel, J., Lehr, D., & Ebert, D. D. (2021). Effectiveness of a Guided Internet- and Mobile-Based Intervention for Patients with Chronic Back Pain and Depression (WARD-BP): A Multicenter, Pragmatic Randomized Controlled Trial. Psychother Psychosom, 90(4), 255-268. https://doi.org/10.1159/000511881 
","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,24,"Baumeister_2021_msd_phq-9_fu1_24_self-report_cbt_cau_NA_NA",0.138950555503283,NA,NA,NA,NA,NA,NA
"17","Baumeister, 2021",17,0.279126137510261,-0.279126137510261,NA,0.0193269447358472,0.139021382297283,"website","guided","med","cbt-based","cau","mdd","some concerns","post",209,NA,NA,"cbt","cau",NA,NA,NA,NA,NA,NA,1,"msd","depression","post",9,"qids","clinician",1,7.29,8.56,4.27,4.78,104,105,"12.12","3.79",104,"12.24","3.8",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,105,"11","15",2021,0,"gsh",2,"eSano BackCare-BP",5,1,0,"6","NA","eu","high","adul","49.9","0.6","oth","mdd","med",NA,"1","1","1","1",4,NA,"Baumeister, H., Paganini, S., Sander, L. B., Lin, J., Schlicker, S., Terhorst, Y., Moshagen, M., Bengel, J., Lehr, D., & Ebert, D. D. (2021). Effectiveness of a Guided Internet- and Mobile-Based Intervention for Patients with Chronic Back Pain and Depression (WARD-BP): A Multicenter, Pragmatic Randomized Controlled Trial. Psychother Psychosom, 90(4), 255-268. https://doi.org/10.1159/000511881 
","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,9,"Baumeister_2021_msd_qids_post_9_clinician_cbt_cau_NA_NA",0.139021382297283,NA,NA,NA,NA,NA,NA
"18","Baumeister, 2021",18,0.231840953376759,-0.231840953376759,NA,0.0192687212331858,0.138811819501027,"website","guided","med","cbt-based","cau","mdd","some concerns","follow-up",209,NA,NA,"cbt","cau",NA,NA,NA,NA,NA,NA,1,"msd","depression","fu1",24,"qids","clinician",1,6.68,7.79,4.56,4.97,104,105,"12.12","3.79",104,"12.24","3.8",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,105,"16","14",2021,0,"gsh",2,"eSano BackCare-BP",5,1,0,"6","NA","eu","high","adul","49.9","0.6","oth","mdd","med",NA,"1","1","1","1",4,NA,"Baumeister, H., Paganini, S., Sander, L. B., Lin, J., Schlicker, S., Terhorst, Y., Moshagen, M., Bengel, J., Lehr, D., & Ebert, D. D. (2021). Effectiveness of a Guided Internet- and Mobile-Based Intervention for Patients with Chronic Back Pain and Depression (WARD-BP): A Multicenter, Pragmatic Randomized Controlled Trial. Psychother Psychosom, 90(4), 255-268. https://doi.org/10.1159/000511881 
","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,24,"Baumeister_2021_msd_qids_fu1_24_clinician_cbt_cau_NA_NA",0.138811819501027,NA,NA,NA,NA,NA,NA
"19","Baumeister, 2021",19,0.213812285331136,-0.213812285331136,NA,0.0192493596430076,0.138742061549508,"website","guided","med","cbt-based","cau","mdd","some concerns","post",209,NA,NA,"cbt","cau",NA,NA,NA,NA,NA,NA,1,"msd","depression","post",9,"hdrs-17","clinician",1,9.67,11.14,6.41,7.26,104,105,"14.4","5.45",104,"14.61","5.32",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,105,"11","15",2021,0,"gsh",2,"eSano BackCare-BP",5,1,0,"6","NA","eu","high","adul","49.9","0.6","oth","mdd","med",NA,"1","1","1","1",4,NA,"Baumeister, H., Paganini, S., Sander, L. B., Lin, J., Schlicker, S., Terhorst, Y., Moshagen, M., Bengel, J., Lehr, D., & Ebert, D. D. (2021). Effectiveness of a Guided Internet- and Mobile-Based Intervention for Patients with Chronic Back Pain and Depression (WARD-BP): A Multicenter, Pragmatic Randomized Controlled Trial. Psychother Psychosom, 90(4), 255-268. https://doi.org/10.1159/000511881 
","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,9,"Baumeister_2021_msd_hdrs-17_post_9_clinician_cbt_cau_NA_NA",0.138742061549508,NA,NA,NA,NA,NA,NA
"20","Baumeister, 2021",20,0.143691422811324,-0.143691422811324,NA,0.0191889497433689,0.138524184687617,"website","guided","med","cbt-based","cau","mdd","some concerns","follow-up",209,NA,NA,"cbt","cau",NA,NA,NA,NA,NA,NA,1,"msd","depression","fu1",24,"ham-d","clinician",1,8.97,9.95,6.44,7.13,104,105,"14.4","5.45",104,"14.61","5.32",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,105,"16","14",2021,0,"gsh",2,"eSano BackCare-BP",5,1,0,"6","0A","eu","high","adul","49.9","0.6","oth","mdd","med",NA,"1","1","1","1",4,NA,"Baumeister, H., Paganini, S., Sander, L. B., Lin, J., Schlicker, S., Terhorst, Y., Moshagen, M., Bengel, J., Lehr, D., & Ebert, D. D. (2021). Effectiveness of a Guided Internet- and Mobile-Based Intervention for Patients with Chronic Back Pain and Depression (WARD-BP): A Multicenter, Pragmatic Randomized Controlled Trial. Psychother Psychosom, 90(4), 255-268. https://doi.org/10.1159/000511881 
","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,24,"Baumeister_2021_msd_ham-d_fu1_24_clinician_cbt_cau_NA_NA",0.138524184687617,NA,NA,NA,NA,NA,NA
